,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
55745,0.992,['Λαϊκή Ορχήστρα Μιχάλη Φελουζή'],0.41,184493,0.325,0,7jWRTlMi5fMSIE6e0u8uOM,0.00822,0,0.521,-11.317,0,Μπαρμπουνάκι,0,1930-01-01,0.0408,79.97,0.43799999999999994,1930
40743,0.992,"['Ludwig van Beethoven', 'Rudolf Serkin']",0.401,241320,0.0882,0,3ME2lwsHlhnUjBS4tU3MfN,0.9009999999999999,0,0.09,-23.215999999999998,1,"Variations on a Waltz by Diabelli, Op. 120: Variation 33: Tempo di menuetto, moderato - Ma non tirarsi dietro",0,1947,0.0426,120.64,0.21100000000000002,1947
53750,0.8240000000000001,['Natalie Merchant'],0.639,281973,0.128,0,6Jrb8pp5YW6gjSAQsEYS0r,9.71e-06,8,0.105,-14.262,1,Motherland,49,2001,0.0319,137.607,0.401,2001
125856,0.00128,['The Score'],0.484,192107,0.8440000000000001,0,6rrKbzJGGDlSZgLphopS49,1.0300000000000001e-05,1,0.14,-3.995,0,Unstoppable,71,2017-10-13,0.0468,78.001,0.611,2017
88787,0.973,['Ignacio Corsini'],0.659,128533,0.244,0,03evrwG386T4PyDwUpxuN2,0.079,1,0.11,-14.847000000000001,1,Flor de Pajonal - Remasterizado,0,1930-06-21,0.25,147.865,0.938,1930
36272,0.6609999999999999,"['Andrew Lloyd Webber', '""Cats"" 1981 Original London Cast', 'John Thornton', 'Bonnie Langford']",0.696,230093,0.306,0,2qJH39hThPyUGNbZ5wPHrc,5.64e-06,2,0.257,-12.909,1,Mungojerrie And Rumpelteazer,35,1981-01-01,0.396,90.251,0.586,1981
113486,0.139,['Fleetwood Mac'],0.513,280933,0.731,0,356134ums8iF3GNIrheeYX,5.320000000000001e-05,0,0.128,-12.130999999999998,1,No Questions Asked,46,1988-11-21,0.0314,137.336,0.32,1988
97892,0.996,['Francisco Canaro'],0.508,164347,0.474,0,5sflpsjt0Bl2yUGtFoPl4Q,0.861,5,0.384,-13.117,1,Tierra de Mis Amores - Remasterizado,0,1925-07-12,0.0476,209.715,0.958,1925
156301,0.387,['The Archies'],0.754,167213,0.7390000000000001,0,5049pjyXaNUfHkWN0n5nWT,0.0,2,0.105,-7.1960000000000015,1,Sugar Sugar,32,1969,0.0278,122.44,0.966,1969
61635,0.00312,['The Matches'],0.48700000000000004,194973,0.958,0,30Df6lLrwfK4XcttjwNkS1,0.0,9,0.18100000000000002,-2.983,1,Chain Me Free,39,2004-05-11,0.11699999999999999,102.741,0.512,2004
141330,0.9590000000000001,['Ennio Morricone'],0.0972,166533,0.14800000000000002,0,6YWisEUWb3KLhf0GAYI5Cx,0.9390000000000001,10,0.0737,-19.563,1,Love Theme,52,1991-01-01,0.0406,169.507,0.0704,1991
29165,9.85e-06,['Firehouse'],0.557,271987,0.754,0,5NzbFdMn2JR4q3XKyhzt7o,2.99e-06,1,0.23800000000000002,-10.672,1,Don't Walk Away,34,1990-09-01,0.0311,111.67,0.591,1990
147898,0.456,"['The Band', 'Todd Rundgren']",0.76,208200,0.785,0,18B2YomkDx6bqvTWzPbYNN,0.000245,9,0.21100000000000002,-8.413,1,Time To Kill - Remastered 2000,33,1970-08-17,0.0595,116.374,0.73,1970
163046,0.903,"['Johann Strauss II', 'August Jaresch', 'Alfred Poell', 'Karl Dönch', 'Julius Patzak', 'Kurt Preger', 'Emmy Loose', 'Stefii Leverenz', 'Rosette Anday', 'Hilde Zadek', 'Wiener Philharmoniker', 'Clemens Krauss']",0.264,229733,0.0499,0,1BMauuSKMUNg0JP8ReqNlt,0.0,2,0.141,-26.12,1,"Der Zigeunerbaron, Operetta in 3 Acts / Act 1: Finale: ""Arsena! Arsena!""",0,1951-01-01,0.0414,91.28,0.175,1951
113703,0.0163,['Billy Idol'],0.612,281467,0.9420000000000001,0,5TSANSqPTD6nBG0NSJWmVB,3.9e-06,3,0.0909,-4.588,1,Cradle Of Love,47,1990-05-01,0.0399,144.03799999999995,0.622,1990
14327,0.0943,['Tenacious D'],0.376,101533,0.8220000000000001,0,5VqeP3E1dS1wEaKfGzZWEH,0.0,7,0.10300000000000001,-6.216,1,Dio,39,2001-09-25,0.0803,91.925,0.345,2001
23277,0.38799999999999996,['Los Originales De San Juan'],0.748,186920,0.779,0,07JEvK6h3oeUqv9W9dxH7c,0.0,3,0.17800000000000002,-4.195,1,La Troca Del Moño Negro,49,2011-01-01,0.195,102.915,0.778,2011
105505,0.642,['Bob Marley & The Wailers'],0.7509999999999999,330760,0.46299999999999997,0,4FNm4ZJaUVLDCMXcqwS6zY,0.20800000000000002,9,0.0314,-10.96,1,Stir It Up,59,2002-01-01,0.10400000000000001,150.191,0.9259999999999999,2002
73303,0.7709999999999999,['Bette Midler'],0.4270000000000001,159467,0.48100000000000004,0,0qjkcEPLEGzzp8TwaT28yA,0.0,5,0.105,-10.53,1,In the Mood,26,1973,0.11699999999999999,169.812,0.763,1973
61520,0.076,['Thompson Twins'],0.8220000000000001,191467,0.9620000000000001,0,63izWYS0oqd4kTZU2W0CON,0.0072900000000000005,7,0.35100000000000003,-5.29,0,Lies,41,2003-01-01,0.0492,131.44299999999998,0.965,2003
52978,0.0596,"['Maze', 'Frankie Beverly']",0.792,332240,0.631,0,60Bbq0palDqWAtthax59TT,0.00014,6,0.11,-11.352,1,Laid Back Girl,29,1993-08-20,0.0726,100.198,0.915,1993
114833,0.0516,['Jaheim'],0.731,287027,0.377,0,38084tN66v4KHqiLpl9cN8,0.0,5,0.13699999999999998,-7.907,1,Anything (feat. Next),50,2001-03-13,0.0425,105.743,0.452,2001
145965,0.603,['Giannis Verras'],0.424,241520,0.6459999999999999,0,0V5gU7GY0xgNgVkfqzCoit,7.670000000000001e-05,9,0.187,-5.7570000000000014,1,Thee mou mia kori Patrinia,0,1950-01-01,0.0463,116.829,0.604,1950
157076,0.222,['Gordon Lightfoot'],0.583,147667,0.556,0,1GIK6sqj6VZHI3PAawo1CA,0.0,2,0.0367,-13.136,1,Summertime Dream,33,1976,0.0291,86.491,0.836,1976
15792,0.0107,['BTS'],0.39399999999999996,267151,0.799,0,0c2E2zcsp8EoWmfw8YQphH,0.0,6,0.14400000000000002,-3.54,1,Autumn Leaves,63,2016-05-02,0.0914,104.999,0.297,2016
106540,0.0042899999999999995,['William Clark Green'],0.209,256760,0.593,0,38iGqJQPZcTYNx6bdR5YWC,0.0,7,0.212,-4.292,1,She Likes the Beatles,60,2013-04-30,0.0324,82.24600000000002,0.34,2013
120932,0.836,"['Big Brother & The Holding Company', 'Janis Joplin']",0.54,261067,0.484,0,1CdEksXQ6gvdr4blQjQdTZ,0.000223,7,0.529,-9.745,1,Turtle Blues,41,1968-08-12,0.0314,109.09,0.484,1968
95783,0.779,['Louis Armstrong'],0.723,181493,0.0811,0,5y8zb3grlQonjdqd27K39T,0.0,0,0.509,-14.113,1,A Kiss To Build A Dream On - Single Version,60,2000-01-01,0.0631,88.044,0.36,2000
39616,0.027999999999999997,['Young Rising Sons'],0.6459999999999999,165720,0.85,0,4gTwPFGhIIlYtlo59jbVUB,7.209999999999999e-05,7,0.281,-5.145,1,High,51,2014-07-08,0.043,116.999,0.518,2014
50920,0.807,['Elvis Presley'],0.5539999999999999,163213,0.478,0,2APyviTaFugnD2ve6dPamr,0.6940000000000001,1,0.18600000000000005,-14.042,1,Fool,35,1973-07-16,0.0282,94.18799999999999,0.27,1973
101235,0.8640000000000001,['Paul Weston'],0.259,184627,0.225,0,69UAfk48j4FtV2YdVynULy,0.92,1,0.0922,-15.685,1,Poor Butterfly,35,1959-01-01,0.0309,101.852,0.233,1959
120335,0.69,['The Ventures'],0.5770000000000001,129973,0.57,0,369bfIbzO4LBeaKKlop0CG,0.9470000000000001,10,0.159,-10.492,1,Green Onions,25,1962-01-01,0.0288,134.795,0.961,1962
69150,0.988,['Fred Mollin'],0.516,172120,0.0803,0,5rWi8IzQtoTVNRSDUYEio4,0.8390000000000001,10,0.13,-19.782,1,Morning Has Broken - Instrumental,43,2005-01-01,0.0364,135.938,0.33899999999999997,2005
16795,0.9540000000000001,['Alfred Newman'],0.145,156114,0.33,0,6Cg8iLZj17VstQKYnZ8hZt,0.109,6,0.287,-10.549000000000001,1,David and Batsheba (1951) Main Title,0,1946-01-01,0.0346,174.832,0.0389,1946
98890,0.466,"['Dale Carnegie', 'Till Hagen', 'Stefan Kaminski']",0.7170000000000001,432733,0.4,0,2mRNkj1n5bRocFvBgqn37G,0.0,10,0.124,-12.149000000000001,0,"Wie man Freunde gewinnt - Die Kunst, beliebt und einflussreich zu werden, Kapitel 5",24,1936,0.922,125.208,0.603,1936
108076,0.982,"['Francisco Canaro', 'Carlos Galán']",0.612,164507,0.16399999999999998,0,4tRnM6Hvf9spyDczFFhn7H,0.000449,2,0.214,-13.407,1,Soy Cantor - Remasterizado,0,1934-01-10,0.0762,119.509,0.812,1934
34771,0.0978,"['Them', 'Van Morrison']",0.4970000000000001,139787,0.905,0,4LxrzJvz7kK9MmQczTXWVE,0.0,2,0.836,-7.138999999999999,1,Turn on Your Love Light (feat. Van Morrison),22,1966-01-21,0.0495,97.12,0.778,1966
101112,0.982,['Billie Holiday'],0.413,190840,0.0784,0,2Dx00nkJWh9UIVN3NlQoec,0.000272,8,0.109,-15.318,1,Solitude,31,1958-01-01,0.0341,70.828,0.147,1958
113374,0.64,['Ernest Tubb'],0.621,158867,0.395,0,2sRQWq9NELigoO4xRB9s3r,0.0,9,0.33,-12.138,1,Waltz Across Texas,43,1987-02-19,0.0311,98.146,0.589,1987
32124,0.971,['Taylor Swift'],0.737,150440,0.175,0,1SmiQ65iSAbPto6gPFlBYm,0.000337,10,0.171,-9.912,1,It’s Nice To Have A Friend,66,2019-08-23,0.0401,70.008,0.545,2019
137973,0.968,['Frank Sinatra'],0.272,124440,0.122,0,53u4PToIoq0PEpl1BJYXJQ,0.0,3,0.105,-15.802999999999999,1,O Little Town Of Bethlehem - Remastered,20,1957-09,0.0316,87.085,0.205,1957
91645,0.845,['Miles Davis'],0.624,349053,0.131,0,6YCAJqpG0uSZSwidZODdjW,0.000362,0,0.0991,-14.532,0,Fran-Dance,43,1959-08-17,0.0432,110.619,0.39,1959
132343,0.109,['Beastie Boys'],0.722,187907,0.512,1,2exGztZ4FhpmrcYhwN4TQy,1.27e-06,3,0.162,-12.757,0,What Comes Around,41,1989-07-25,0.21,87.624,0.9440000000000001,1989
139802,0.114,['Scorpions'],0.361,282533,0.518,0,40krsMoLE7zFQOIsdwJrZI,0.0,6,0.13699999999999998,-13.048,1,In Trance,44,1975,0.0565,137.65,0.23,1975
160444,0.000505,['My Darkest Days'],0.624,193107,0.8909999999999999,0,29JkmIEHcUg0R4BQ8o4PmJ,0.0,11,0.3,-3.647,1,Move Your Body,50,2010-01-01,0.0496,122.046,0.905,2010
40288,0.995,"['Robert de Visée', 'Andrés Segovia']",0.5589999999999999,45200,0.0863,0,6UV7XmPFS6U5Opv06hKbNn,0.927,8,0.142,-26.941,0,Bourrée,1,1930-01-01,0.0438,105.406,0.8909999999999999,1930
13932,0.0464,['Mœnia'],0.63,212840,0.7170000000000001,0,1WWVPLllFytUxx5yoG3csG,0.39899999999999997,11,0.11900000000000001,-16.142,0,No Puedo Estar Sin Ti,49,1997,0.0449,128.05,0.488,1997
134680,0.128,['Lana Del Rey'],0.373,289080,0.6859999999999999,1,3l2S2RkGG4lbh7WqmCV3NB,1.96e-06,0,0.38299999999999995,-5.52,1,Ride,54,2012-11-12,0.034,93.76299999999999,0.18899999999999997,2012
117461,0.986,"['Francisco Canaro', 'Carlos Dante']",0.667,157507,0.35700000000000004,0,3YsgAk1oSOvuOKCAefee9I,0.133,0,0.0516,-7.03,1,Quien Tuviera 20 Abriles - Remasterizado,0,1933-12-26,0.125,126.852,0.8690000000000001,1933
85173,0.708,"['Chalino Sanchez', 'Los Amables Del Norte']",0.728,190497,0.618,0,5pkr9BmnShPMoo5QLnpmnA,0.000492,7,0.0715,-7.197,1,El Crimen De Culiacán,64,1992-05-14,0.0368,97.27799999999999,0.91,1992
51199,0.35100000000000003,['José Luis Rodríguez'],0.392,246979,0.325,0,6L3Z50c1Rd3ElhP8epFOH0,0.0126,5,0.177,-13.197000000000001,1,La Llamada del Amor,36,1976-07-12,0.0347,142.04399999999995,0.203,1976
39592,0.035,"['Cozz', 'J. Cole']",0.685,250187,0.872,1,3b5YHReWhnrlfHS7nk7YeQ,0.0,1,0.228,-5.827999999999999,1,Knock Tha Hustle - Remix,51,2014-01-01,0.294,85.85,0.546,2014
42725,0.8809999999999999,['Luiz Henrique'],0.626,184173,0.23800000000000002,0,4X24gbKkMyC1VlNFog3EUD,0.00366,4,0.182,-19.585,0,Mas Que Nada,38,1967-01-01,0.0418,78.816,0.664,1967
168797,0.439,"['Sergio Vega ""El Shaka""']",0.69,168840,0.5770000000000001,0,4dmOQs3LUlmxGenu1GxogE,0.0,8,0.0462,-4.015,1,La Número 20,56,2009-01-01,0.0474,153.197,0.9690000000000001,2009
109838,0.884,['MGM Studio Orchestra'],0.297,66267,0.316,0,6kq3doF5YFFaBkDBbJ7SRh,0.8440000000000001,5,0.345,-14.899000000000001,0,Tango (Temptation),5,1952-04-11,0.0491,84.274,0.573,1952
37447,0.885,"['Antonio Vivaldi', 'Béla Drahos', 'Pál Kelemen', 'Zsuzsa Pertis']",0.513,184893,0.18,0,6F44R6JFGTn10ghD7ITrSO,0.27,9,0.253,-17.549,1,"Sonata No. 4 in A Major, Op. 13, RV 59, ""Il pastor fido"": II. Allegro ma non presto",42,1993-05-17,0.0533,119.965,0.696,1993
94552,0.26899999999999996,['Luis Miguel'],0.5589999999999999,235107,0.429,0,2J4qy8RyfwgXHt73cWOE6P,0.0,0,0.0306,-13.995,0,Fría Como El Viento,66,1988-11-25,0.0289,131.88,0.3,1988
67094,0.129,['R.E.M.'],0.4320000000000001,197773,0.595,0,0MofLGsMKV4OS56pEXkX3R,0.8140000000000001,2,0.284,-14.132,1,Kohoutek,24,1985-06-10,0.035,125.806,0.823,1985
139093,0.474,['Louis Armstrong'],0.537,119027,0.307,0,4yUtq7b6NX0zDGKUsgQIzG,0.0,1,0.0646,-14.375,1,Give Me Your Kisses,29,1968-01-01,0.0932,84.48899999999998,0.708,1968
5504,0.0157,['Hootie & The Blowfish'],0.569,250640,0.741,0,0BsqL3ngsjFFAxLZWjuXiz,0.000101,4,0.0831,-7.778,1,I'm Goin' Home,38,1994-07-01,0.0321,111.54,0.815,1994
39749,0.6779999999999999,['Amos Lee'],0.652,225147,0.24,0,1pLbS57mLE8iG4njSQIAtX,0.006520000000000001,10,0.0784,-15.690999999999999,1,Wait Up For Me,56,2016-09-19,0.0295,83.02,0.257,2016
160534,0.0101,"['Victorious Cast', 'Victoria Justice']",0.408,182240,0.8640000000000001,0,2XzWZtjk9OjfVRYLy52OMv,0.0,8,0.131,-4.335,0,All I Want Is Everything (feat. Victoria Justice),52,2011-08-01,0.18899999999999997,177.02700000000004,0.618,2011
160231,0.000413,['Rise Against'],0.242,222453,0.946,0,6xLlFIY9nuri5BR0Cp84ea,3.7e-05,11,0.132,-3.388,1,Re-Education (Through Labor),47,2008-01-01,0.102,147.589,0.341,2008
121286,0.669,['Sly & The Family Stone'],0.8190000000000001,185533,0.605,0,4f3u4Oy0JqJRIhMmTqRcxj,0.0163,2,0.19899999999999998,-13.83,0,Family Affair - Single Version,46,1971-11-20,0.132,108.89200000000001,0.797,1971
4988,0.62,['Jim Croce'],0.7390000000000001,153320,0.308,0,6QbeFXU8mlDJxicr7lfJcO,0.0,4,0.436,-14.942,0,Shopping for Clothes - Live,33,1989-01-01,0.46799999999999997,112.197,0.758,1989
10982,0.204,['Johnny Cash'],0.7340000000000001,159880,0.545,0,2UVDHKbsde7mL7tEHd9IPo,1.7e-05,5,0.777,-12.109000000000002,1,"Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA (2nd Show) - January 1968",25,1968-05-02,0.0823,108.464,0.885,1968
116329,0.00687,['Taron Egerton'],0.579,187853,0.904,0,0mb7btREdC3wuIUmuVRgWn,0.0,10,0.0649,-4.45,0,"I'm Still Standing - From ""Sing"" Original Motion Picture Soundtrack",63,2016-12-09,0.15,175.31599999999997,0.713,2016
40575,0.966,['Walter Huston'],0.818,38146,0.7090000000000001,0,6VGo2vghXEaomRpD5EU7kw,2.97e-05,6,0.29,-6.3420000000000005,1,Keep Your Eyes Upon Me (Version Walter Huston),2,1942-10-23,0.0781,129.985,0.982,1942
28584,5.520000000000003e-05,['Red Hot Chili Peppers'],0.431,76493,0.8759999999999999,0,1lidCYzQ3TIB0MZYUth1md,0.138,0,0.134,-7.672999999999999,1,Police Helicopter - 2002 Digital Remaster,33,1984-08-10,0.11699999999999999,136.65200000000002,0.628,1984
64510,0.267,['Lalo Guerrero con el Mariachi Imperial'],0.7070000000000001,181504,0.8390000000000001,0,2ouGoHrqlVedxnflTcTg3P,0.0,10,0.174,-6.03,1,Los Chuchos Suaves - Remastered,11,1959-01-12,0.0707,117.959,0.968,1959
45342,0.609,['Banda R-15'],0.608,151347,0.521,0,4VUg8B1JQ5Pq3SnqAFNKxI,1.23e-06,0,0.0408,-7.5829999999999975,1,Ahora Si Va En Serio,33,1993-01-01,0.19699999999999998,187.88299999999998,0.97,1993
32049,0.0792,['Witt Lowry'],0.722,224595,0.59,1,6a0JNVksUWTzdQ2H0r9nBd,1.73e-05,8,0.109,-7.398,1,Ghost,65,2019-08-30,0.10400000000000001,148.132,0.217,2019
111738,0.685,['Johnny Paycheck'],0.627,175000,0.426,0,3w3vrnY530BeHUDWRcHrp9,0.0,10,0.11199999999999999,-15.524000000000001,1,She's All I Got,41,1971,0.0377,138.278,0.841,1971
46090,0.004370000000000001,['Enigma'],0.614,233533,0.9390000000000001,0,0aiAH0rJX9KJzwy3tzPQSS,0.225,11,0.529,-7.501,0,Modern Crusaders,44,2001-01-01,0.0704,114.988,0.327,2001
30898,0.0049299999999999995,['12 Stones'],0.44299999999999995,219080,0.907,0,1fbLPjsAXq7gZPtOK9QCZU,0.0,2,0.0754,-4.046,1,Lie To Me,46,2007-01-01,0.0541,157.99200000000005,0.449,2007
72040,0.725,['Wayne Shorter'],0.44799999999999995,204040,0.5870000000000001,0,1WH5S763r526clejLSM6AA,0.18899999999999997,8,0.152,-13.363,1,Tenderfoot,9,1960-01-01,0.0449,136.159,0.508,1960
133210,0.128,['The Sundays'],0.617,213493,0.645,0,4TwaeQT1YTeBUBRB8NeSCo,6.879999999999999e-05,9,0.102,-7.202999999999999,1,Summertime,42,1997-01-01,0.0338,96.01700000000001,0.802,1997
40978,0.8690000000000001,"['Colette', 'André Parinaud', 'Robert Casadessus']",0.654,657093,0.0994,0,3T3mo6vuTbU2gNeDTI7Ydu,0.0,0,0.18,-19.801,1,Mine ou l'ingénue libertine,0,1949,0.94,90.712,0.40299999999999997,1949
76423,0.00011,['Marilyn Manson'],0.499,177440,0.9840000000000001,1,1ISP2dNYO2gxnGISJFEboR,0.000138,1,0.0946,-3.6919999999999997,0,The Fight Song,38,2004-01-01,0.0898,129.917,0.0378,2004
163198,0.9690000000000001,['Stélios Kazantzídis'],0.486,204973,0.275,0,0tL6TO9ERWg4wUHb1QB8Y4,0.0,11,0.133,-12.373,0,Γειτονιά μου αγαπημένη,0,1953-01-01,0.040999999999999995,125.322,0.7959999999999999,1953
93943,0.35,['Duran Duran'],0.5720000000000001,333307,0.706,0,1ff8lsrJ2kuZuofMw81EQo,0.0,9,0.159,-8.707,0,Save a Prayer - 2009 Remaster,63,1982-05-10,0.0283,113.595,0.6709999999999999,1982
55496,0.7559999999999999,['James Bay'],0.5489999999999999,225920,0.413,0,3xRcQ04b0l5RiU2w7lJhCD,0.0,4,0.0939,-5.5870000000000015,1,Bad,71,2019-05-10,0.0362,139.981,0.29,2019
30497,0.0916,['Rage Against The Machine'],0.305,317493,0.997,0,3YyUzKsTKFMPJkEvlEh8vW,0.001,6,0.94,-2.93,1,"Bulls on Parade - Live at the Grand Olympic Auditorium, Los Angeles, CA - September 2000",45,2003-11-25,0.46399999999999997,85.024,0.0612,2003
138708,0.7909999999999999,['Aretha Franklin'],0.521,152960,0.506,0,0MCH9gCM4CphdKB6NWivyQ,0.0,7,0.124,-8.906,0,Runnin' Out of Fools,27,1964,0.0379,79.87899999999998,0.63,1964
18846,0.9640000000000001,['Ella Fitzgerald'],0.385,304960,0.053,0,3t68P735tQXvGXHQ0n1aQa,9.98e-05,5,0.135,-20.105999999999998,1,Just A Closer Walk With Thee,20,1967-11,0.0353,67.971,0.128,1967
36858,0.8640000000000001,['Software'],0.59,392072,0.392,0,0m0SY01JEw3mcQOXmuy3rz,0.8909999999999999,7,0.185,-15.72,1,Island Sunrise,33,1987-12-31,0.0341,126.28299999999999,0.259,1987
146780,0.78,['The Everly Brothers'],0.48,217907,0.225,0,1E5cZzKmVgLLJcLI6HPbn4,0.0,3,0.0877,-15.402000000000001,1,I'm Here To Get My Baby Out Of Jail,13,1958,0.031,128.017,0.58,1958
5204,0.225,['Paul Young'],0.61,250160,0.39,0,3yzM3pkIF5rlllUAAhFPx7,0.0,10,0.0888,-12.959000000000001,1,Wherever I Lay My Hat (That's My Home),51,1991-09-07,0.0576,88.98899999999998,0.536,1991
49955,0.98,"['Claude Debussy', 'Philadelphia Orchestra', 'William Smith']",0.0864,336733,0.042,0,6AvXASzp49BNY1ooVJI6Rf,0.9470000000000001,9,0.163,-26.13300000000001,1,"2 Arabesques, L. 66: No. 1 in E Major (Arr. for Orchestra) - Instrumental",12,1963,0.042,78.54899999999998,0.038,1963
139438,0.198,"['Harold Melvin', 'Harold Melvin & The Blue Notes']",0.659,381093,0.6970000000000001,0,2lVYcVskw2ZgVogwOuv8sG,0.0,2,0.0724,-11.970999999999998,1,The Love I Lost,41,1972,0.0536,123.72200000000001,0.7440000000000001,1972
24033,0.21899999999999997,['FLETCHER'],0.46,192993,0.498,0,4GUXTRTjQ4voLzwLw9qbPx,0.00329,5,0.099,-6.312,1,I Believe You,65,2018-03-09,0.0282,76.902,0.154,2018
17377,0.985,"['S. D. Batish', 'Chitalkar']",0.526,206205,0.287,0,1bvuYMAIIOMzE1ZAcXC8pn,0.0631,2,0.127,-10.125,1,Jhanpa Kahan Hai Meri Champa,0,1952-12-31,0.366,74.392,0.708,1952
9626,0.775,"['Deutsche Grammophon Literatur', 'Johann Wolfgang von Goethe', 'Gustaf Grundgens']",0.45,78425,0.0153,0,08rDcpb4cVhf5fmhCM0IVo,0.0,7,0.0693,-34.631,0,Studierzimmer - Teil 08,1,1954-01-01,0.113,78.932,0.39899999999999997,1954
93795,0.309,"['Hank Williams, Jr.']",0.7040000000000001,243200,0.653,0,6ySdPEskOpKlNcwJ6WeHGG,0.0054600000000000004,2,0.0761,-12.902999999999999,1,All In Alabama,46,1980,0.0295,134.161,0.882,1980
32860,0.992,['The Soft Winds'],0.425,243493,0.0324,0,7Lhiza3J7SUfGU1ZL1Ymiv,0.9129999999999999,0,0.214,-28.811999999999998,1,Tenderley,0,1947,0.0346,72.665,0.27399999999999997,1947
63362,0.0499,['Эрих Мария Ремарк'],0.7190000000000001,99414,0.131,1,5i4oF4F8WlYbKBtQeUitDL,0.0013800000000000002,9,0.293,-24.449,1,Часть 213.4 & Часть 214.1 - Триумфальная арка,0,1945,0.585,120.721,0.738,1945
77544,0.0318,['Futuristic'],0.865,167559,0.807,1,2UmtjSvU9FOVKJH9trz7Ht,0.0,1,0.153,-5.563,0,Too Easy,50,2015-05-12,0.154,130.054,0.4920000000000001,2015
86140,0.0622,"['Eminem', 'Nate Dogg']",0.5479999999999999,297787,0.847,1,4xkOaSrkexMciUUogZKVTS,0.0,1,0.0816,-3.237,1,'Till I Collapse,83,2002-05-26,0.18600000000000005,171.447,0.1,2002
58697,0.191,['Bob Dylan'],0.47,192227,0.958,0,1SM6tv9j3slJvzkoCFR896,0.0259,9,0.8490000000000001,-5.695,1,"It Takes a Lot to Laugh, It Takes a Train to Cry - Live at Boston Music Hall, Boston, MA - November 21, 1975 - Evening",25,1975-12-31,0.0817,123.965,0.40399999999999997,1975
104733,0.0244,['The Notorious B.I.G.'],0.742,238107,0.63,1,7hdOchAKFm6FwzyevcQ56y,2.77e-06,1,0.0716,-6.95,1,Things Done Changed - 2005 Remaster,53,1994-09-13,0.254,90.905,0.12300000000000001,1994
17554,0.988,['Leon Paul Fargue'],0.396,251320,0.0752,0,0BE26h04rVMEJep80C9Inh,0.264,9,0.11699999999999999,-21.316,0,Nocturne,0,1954-01-01,0.0377,123.99600000000001,0.0399,1954
